datetime,portfolio_value,cash,return
2023-05-11 11:00:00-04:00,100000.0,100000.0,
2023-05-11 11:30:00-04:00,100000.0,100000.0,0.0
2023-05-11 12:00:00-04:00,100000.0,100000.0,0.0
2023-05-11 12:30:00-04:00,100000.0,100000.0,0.0
2023-05-11 13:00:00-04:00,100000.0,100000.0,0.0
2023-05-11 13:30:00-04:00,100000.0,100000.0,0.0
2023-05-11 14:00:00-04:00,100000.0,100000.0,0.0
2023-05-11 14:30:00-04:00,100000.0,200103.8529663086,0.0
2023-05-11 15:00:00-04:00,100000.0,200103.8529663086,0.0
2023-05-11 15:30:00-04:00,100000.0,200103.8529663086,0.0
2023-05-11 16:00:00-04:00,100000.0,200103.8529663086,0.0
2023-05-12 09:30:00-04:00,99642.78970336914,200103.8529663086,-0.00357210296630861
2023-05-12 10:00:00-04:00,99642.78970336914,200103.8529663086,0.0
2023-05-12 10:30:00-04:00,99642.78970336914,200103.8529663086,0.0
2023-05-12 11:00:00-04:00,99642.78970336914,200103.8529663086,0.0
2023-05-12 11:30:00-04:00,99642.78970336914,200103.8529663086,0.0
2023-05-12 12:00:00-04:00,99642.78970336914,200103.8529663086,0.0
2023-05-12 12:30:00-04:00,99642.78970336914,200103.8529663086,0.0
2023-05-12 13:00:00-04:00,99642.78970336914,200103.8529663086,0.0
2023-05-12 13:30:00-04:00,99642.78970336914,200103.8529663086,0.0
2023-05-12 14:00:00-04:00,99642.78970336914,200103.8529663086,0.0
2023-05-12 14:30:00-04:00,99642.78970336914,200103.8529663086,0.0
2023-05-12 15:00:00-04:00,99642.78970336914,200103.8529663086,0.0
2023-05-12 15:30:00-04:00,99642.78970336914,200103.8529663086,0.0
2023-05-12 16:00:00-04:00,99642.78970336914,200103.8529663086,0.0
2023-05-15 09:30:00-04:00,99934.39266967773,200103.8529663086,0.0029264833629876197
2023-05-15 10:00:00-04:00,99934.39266967773,200103.8529663086,0.0
2023-05-15 10:30:00-04:00,99934.39266967773,200103.8529663086,0.0
2023-05-15 11:00:00-04:00,99934.39266967773,200103.8529663086,0.0
2023-05-15 11:30:00-04:00,99934.39266967773,200103.8529663086,0.0
2023-05-15 12:00:00-04:00,99934.39266967773,200103.8529663086,0.0
2023-05-15 12:30:00-04:00,99934.39266967773,200103.8529663086,0.0
2023-05-15 13:00:00-04:00,99934.39266967773,200103.8529663086,0.0
2023-05-15 13:30:00-04:00,99934.39266967773,200103.8529663086,0.0
2023-05-15 14:00:00-04:00,99934.39266967773,200103.8529663086,0.0
2023-05-15 14:30:00-04:00,99934.39266967773,200103.8529663086,0.0
2023-05-15 15:00:00-04:00,99934.39266967773,200103.8529663086,0.0
2023-05-15 15:30:00-04:00,99934.39266967773,200103.8529663086,0.0
2023-05-15 16:00:00-04:00,99934.39266967773,200103.8529663086,0.0
2023-05-16 09:30:00-04:00,100021.8765258789,200103.8529663086,0.0008754128970427377
