datetime,portfolio_value,cash,return
2023-01-30 09:30:00-05:00,100000.0,100000.0,
2023-01-30 10:00:00-05:00,100000.0,100000.0,0.0
2023-01-30 10:30:00-05:00,100000.0,105.60302734375,0.0
2023-01-30 11:00:00-05:00,100000.0,105.60302734375,0.0
2023-01-30 11:30:00-05:00,100000.0,105.60302734375,0.0
2023-01-30 12:00:00-05:00,100000.0,105.60302734375,0.0
2023-01-30 12:30:00-05:00,100000.0,105.60302734375,0.0
2023-01-30 13:00:00-05:00,100000.0,105.60302734375,0.0
2023-01-30 13:30:00-05:00,100000.0,105.60302734375,0.0
2023-01-30 14:00:00-05:00,100000.0,105.60302734375,0.0
2023-01-30 14:30:00-05:00,100000.0,105.60302734375,0.0
2023-01-30 15:00:00-05:00,100000.0,105.60302734375,0.0
2023-01-30 15:30:00-05:00,100000.0,105.60302734375,0.0
2023-01-30 16:00:00-05:00,100000.0,105.60302734375,0.0
2023-01-31 09:30:00-05:00,99585.84423828125,105.60302734375,-0.004141557617187486
2023-01-31 10:00:00-05:00,99585.84423828125,105.60302734375,0.0
2023-01-31 10:30:00-05:00,99585.84423828125,105.60302734375,0.0
2023-01-31 11:00:00-05:00,99585.84423828125,105.60302734375,0.0
2023-01-31 11:30:00-05:00,99585.84423828125,105.60302734375,0.0
2023-01-31 12:00:00-05:00,99585.84423828125,105.60302734375,0.0
2023-01-31 12:30:00-05:00,99585.84423828125,105.60302734375,0.0
2023-01-31 13:00:00-05:00,99585.84423828125,105.60302734375,0.0
2023-01-31 13:30:00-05:00,99585.84423828125,105.60302734375,0.0
2023-01-31 14:00:00-05:00,99585.84423828125,105.60302734375,0.0
2023-01-31 14:30:00-05:00,99585.84423828125,105.60302734375,0.0
2023-01-31 15:00:00-05:00,99585.84423828125,105.60302734375,0.0
2023-01-31 15:30:00-05:00,99585.84423828125,105.60302734375,0.0
2023-01-31 16:00:00-05:00,99585.84423828125,105.60302734375,0.0
2023-02-01 09:30:00-05:00,101997.88793945312,101997.88793945312,0.02422074863773327
2023-02-01 10:00:00-05:00,101997.88793945312,101997.88793945312,0.0
2023-02-01 10:30:00-05:00,101997.88793945312,101997.88793945312,0.0
2023-02-01 11:00:00-05:00,101997.88793945312,101997.88793945312,0.0
2023-02-01 11:30:00-05:00,101997.88793945312,101997.88793945312,0.0
2023-02-01 12:00:00-05:00,101997.88793945312,101997.88793945312,0.0
2023-02-01 12:30:00-05:00,101997.88793945312,101997.88793945312,0.0
2023-02-01 13:00:00-05:00,101997.88793945312,101997.88793945312,0.0
2023-02-01 13:30:00-05:00,101997.88793945312,101997.88793945312,0.0
2023-02-01 14:00:00-05:00,101997.88793945312,101997.88793945312,0.0
2023-02-01 14:30:00-05:00,101997.88793945312,101997.88793945312,0.0
2023-02-01 15:00:00-05:00,101997.88793945312,101997.88793945312,0.0
2023-02-01 15:30:00-05:00,101997.88793945312,101997.88793945312,0.0
2023-02-01 16:00:00-05:00,101997.88793945312,101997.88793945312,0.0
2023-02-02 09:30:00-05:00,101997.88793945312,101997.88793945312,0.0
2023-02-02 10:00:00-05:00,101997.88793945312,101997.88793945312,0.0
2023-02-02 10:30:00-05:00,101997.88793945312,-57.66845703125,0.0
2023-02-02 11:00:00-05:00,101997.88793945312,-57.66845703125,0.0
2023-02-02 11:30:00-05:00,101997.88793945312,-57.66845703125,0.0
2023-02-02 12:00:00-05:00,101997.88793945312,-57.66845703125,0.0
2023-02-02 12:30:00-05:00,101997.88793945312,-57.66845703125,0.0
2023-02-02 13:00:00-05:00,101997.88793945312,-57.66845703125,0.0
2023-02-02 13:30:00-05:00,101997.88793945312,-57.66845703125,0.0
2023-02-02 14:00:00-05:00,101997.88793945312,-57.66845703125,0.0
2023-02-02 14:30:00-05:00,101997.88793945312,-57.66845703125,0.0
2023-02-02 15:00:00-05:00,101997.88793945312,-57.66845703125,0.0
2023-02-02 15:30:00-05:00,101997.88793945312,-57.66845703125,0.0
2023-02-02 16:00:00-05:00,101997.88793945312,-57.66845703125,0.0
2023-02-03 09:30:00-05:00,101193.47064208984,-57.66845703125,-0.007886607395643286
2023-02-03 10:00:00-05:00,101193.47064208984,-57.66845703125,0.0
2023-02-03 10:30:00-05:00,101193.47064208984,-57.66845703125,0.0
2023-02-03 11:00:00-05:00,101193.47064208984,-57.66845703125,0.0
2023-02-03 11:30:00-05:00,101193.47064208984,-57.66845703125,0.0
2023-02-03 12:00:00-05:00,101193.47064208984,-57.66845703125,0.0
2023-02-03 12:30:00-05:00,101193.47064208984,-57.66845703125,0.0
2023-02-03 13:00:00-05:00,101193.47064208984,-57.66845703125,0.0
2023-02-03 13:30:00-05:00,101193.47064208984,-57.66845703125,0.0
2023-02-03 14:00:00-05:00,101193.47064208984,-57.66845703125,0.0
2023-02-03 14:30:00-05:00,101193.47064208984,-57.66845703125,0.0
2023-02-03 15:00:00-05:00,101193.47064208984,-57.66845703125,0.0
2023-02-03 15:30:00-05:00,101193.47064208984,-57.66845703125,0.0
2023-02-03 16:00:00-05:00,101193.47064208984,-57.66845703125,0.0
2023-02-06 09:30:00-05:00,100750.67364501953,100750.67364501953,-0.004375746718248585
2023-02-06 10:00:00-05:00,100750.67364501953,100750.67364501953,0.0
2023-02-06 10:30:00-05:00,100750.67364501953,-57.66845703125,0.0
2023-02-06 11:00:00-05:00,100750.67364501953,-57.66845703125,0.0
2023-02-06 11:30:00-05:00,100750.67364501953,-57.66845703125,0.0
2023-02-06 12:00:00-05:00,100750.67364501953,-57.66845703125,0.0
2023-02-06 12:30:00-05:00,100750.67364501953,-57.66845703125,0.0
2023-02-06 13:00:00-05:00,100750.67364501953,-57.66845703125,0.0
2023-02-06 13:30:00-05:00,100750.67364501953,-57.66845703125,0.0
2023-02-06 14:00:00-05:00,100750.67364501953,-57.66845703125,0.0
2023-02-06 14:30:00-05:00,100750.67364501953,-57.66845703125,0.0
2023-02-06 15:00:00-05:00,100750.67364501953,-57.66845703125,0.0
2023-02-06 15:30:00-05:00,100750.67364501953,-57.66845703125,0.0
2023-02-06 16:00:00-05:00,100750.67364501953,-57.66845703125,0.0
2023-02-07 09:30:00-05:00,100524.35034179688,-57.66845703125,-0.002246370123738073
2023-02-07 10:00:00-05:00,100524.35034179688,-57.66845703125,0.0
2023-02-07 10:30:00-05:00,100524.35034179688,-57.66845703125,0.0
2023-02-07 11:00:00-05:00,100524.35034179688,-57.66845703125,0.0
2023-02-07 11:30:00-05:00,100524.35034179688,-57.66845703125,0.0
2023-02-07 12:00:00-05:00,100524.35034179688,-57.66845703125,0.0
2023-02-07 12:30:00-05:00,100524.35034179688,-57.66845703125,0.0
2023-02-07 13:00:00-05:00,100524.35034179688,-57.66845703125,0.0
2023-02-07 13:30:00-05:00,100524.35034179688,-57.66845703125,0.0
2023-02-07 14:00:00-05:00,100524.35034179688,-57.66845703125,0.0
2023-02-07 14:30:00-05:00,100524.35034179688,-57.66845703125,0.0
2023-02-07 15:00:00-05:00,100524.35034179688,-57.66845703125,0.0
2023-02-07 15:30:00-05:00,100524.35034179688,-57.66845703125,0.0
2023-02-07 16:00:00-05:00,100524.35034179688,-57.66845703125,0.0
2023-02-08 09:30:00-05:00,101572.31274414062,-57.66845703125,0.01042496070634158
2023-02-08 10:00:00-05:00,101572.31274414062,-57.66845703125,0.0
2023-02-08 10:30:00-05:00,101572.31274414062,-57.66845703125,0.0
2023-02-08 11:00:00-05:00,101572.31274414062,-57.66845703125,0.0
2023-02-08 11:30:00-05:00,101572.31274414062,-57.66845703125,0.0
2023-02-08 12:00:00-05:00,101572.31274414062,-57.66845703125,0.0
2023-02-08 12:30:00-05:00,101572.31274414062,-57.66845703125,0.0
2023-02-08 13:00:00-05:00,101572.31274414062,-57.66845703125,0.0
2023-02-08 13:30:00-05:00,101572.31274414062,-57.66845703125,0.0
2023-02-08 14:00:00-05:00,101572.31274414062,-57.66845703125,0.0
2023-02-08 14:30:00-05:00,101572.31274414062,-57.66845703125,0.0
2023-02-08 15:00:00-05:00,101572.31274414062,-57.66845703125,0.0
2023-02-08 15:30:00-05:00,101572.31274414062,-57.66845703125,0.0
2023-02-08 16:00:00-05:00,101572.31274414062,-57.66845703125,0.0
2023-02-09 09:30:00-05:00,101887.19244384766,-57.66845703125,0.0031000544459414137
2023-02-09 10:00:00-05:00,101887.19244384766,-57.66845703125,0.0
2023-02-09 10:30:00-05:00,101887.19244384766,-57.66845703125,0.0
2023-02-09 11:00:00-05:00,101887.19244384766,-57.66845703125,0.0
2023-02-09 11:30:00-05:00,101887.19244384766,-57.66845703125,0.0
2023-02-09 12:00:00-05:00,101887.19244384766,-57.66845703125,0.0
2023-02-09 12:30:00-05:00,101887.19244384766,-57.66845703125,0.0
2023-02-09 13:00:00-05:00,101887.19244384766,-57.66845703125,0.0
2023-02-09 13:30:00-05:00,101887.19244384766,-57.66845703125,0.0
2023-02-09 14:00:00-05:00,101887.19244384766,-57.66845703125,0.0
2023-02-09 14:30:00-05:00,101887.19244384766,-57.66845703125,0.0
2023-02-09 15:00:00-05:00,101887.19244384766,-57.66845703125,0.0
2023-02-09 15:30:00-05:00,101887.19244384766,-57.66845703125,0.0
2023-02-09 16:00:00-05:00,101887.19244384766,-57.66845703125,0.0
2023-02-10 09:30:00-05:00,99742.59022399902,99742.59022399902,-0.021048791005116474
2023-02-10 10:00:00-05:00,99742.59022399902,99742.59022399902,0.0
2023-02-10 10:30:00-05:00,99742.59022399902,99742.59022399902,0.0
2023-02-10 11:00:00-05:00,99742.59022399902,99742.59022399902,0.0
2023-02-10 11:30:00-05:00,99742.59022399902,99742.59022399902,0.0
2023-02-10 12:00:00-05:00,99742.59022399902,99742.59022399902,0.0
2023-02-10 12:30:00-05:00,99742.59022399902,99742.59022399902,0.0
2023-02-10 13:00:00-05:00,99742.59022399902,99742.59022399902,0.0
2023-02-10 13:30:00-05:00,99742.59022399902,99742.59022399902,0.0
2023-02-10 14:00:00-05:00,99742.59022399902,99742.59022399902,0.0
2023-02-10 14:30:00-05:00,99742.59022399902,99742.59022399902,0.0
2023-02-10 15:00:00-05:00,99742.59022399902,99742.59022399902,0.0
2023-02-10 15:30:00-05:00,99742.59022399902,99742.59022399902,0.0
2023-02-10 16:00:00-05:00,99742.59022399902,99742.59022399902,0.0
